,status,value,date
13,cases,1.0,2020-02-27
34,cases,2.0,2020-03-05
50,cases,3.0,2020-03-06
61,cases,4.0,2020-03-08
78,cases,5.0,2020-03-09
99,cases,6.0,2020-03-11
100,cases,7.0,2020-03-11
101,cases,8.0,2020-03-11
134,cases,9.0,2020-03-12
135,cases,10.0,2020-03-12
136,cases,11.0,2020-03-12
137,cases,12.0,2020-03-12
138,cases,13.0,2020-03-12
144,cases,14.0,2020-03-12
145,cases,15.0,2020-03-12
146,cases,16.0,2020-03-12
147,cases,17.0,2020-03-12
221,cases,18.0,2020-03-14
222,cases,19.0,2020-03-14
223,cases,20.0,2020-03-14
224,cases,21.0,2020-03-14
225,cases,22.0,2020-03-14
226,cases,23.0,2020-03-14
227,cases,24.0,2020-03-14
298,cases,25.0,2020-03-15
299,cases,26.0,2020-03-15
300,cases,27.0,2020-03-15
301,cases,28.0,2020-03-15
302,cases,29.0,2020-03-15
303,cases,30.0,2020-03-15
304,cases,31.0,2020-03-15
305,cases,32.0,2020-03-15
306,cases,33.0,2020-03-15
307,cases,34.0,2020-03-15
308,cases,35.0,2020-03-15
337,cases,36.0,2020-03-15
338,cases,37.0,2020-03-15
339,cases,38.0,2020-03-15
340,cases,39.0,2020-03-15
373,cases,40.0,2020-03-16
374,cases,41.0,2020-03-16
378,cases,42.0,2020-03-16
379,cases,43.0,2020-03-16
380,cases,44.0,2020-03-16
381,cases,45.0,2020-03-16
382,cases,46.0,2020-03-16
383,cases,47.0,2020-03-16
384,cases,48.0,2020-03-16
385,cases,49.0,2020-03-16
386,cases,50.0,2020-03-16
452,cases,51.0,2020-03-17
453,cases,52.0,2020-03-17
454,cases,53.0,2020-03-17
455,cases,54.0,2020-03-17
456,cases,55.0,2020-03-17
457,cases,56.0,2020-03-17
458,cases,57.0,2020-03-17
459,cases,58.0,2020-03-17
460,cases,59.0,2020-03-17
461,cases,60.0,2020-03-17
462,cases,61.0,2020-03-17
463,cases,62.0,2020-03-17
464,cases,63.0,2020-03-17
465,cases,64.0,2020-03-17
466,cases,65.0,2020-03-17
467,cases,66.0,2020-03-17
468,cases,67.0,2020-03-17
469,cases,68.0,2020-03-17
470,cases,69.0,2020-03-17
471,cases,70.0,2020-03-17
472,cases,71.0,2020-03-17
473,cases,72.0,2020-03-17
474,cases,73.0,2020-03-17
475,cases,74.0,2020-03-17
620,cases,75.0,2020-03-18
621,cases,76.0,2020-03-18
622,cases,77.0,2020-03-18
623,cases,78.0,2020-03-18
624,cases,79.0,2020-03-18
625,cases,80.0,2020-03-18
626,cases,81.0,2020-03-18
627,cases,82.0,2020-03-18
628,cases,83.0,2020-03-18
629,cases,84.0,2020-03-18
630,cases,85.0,2020-03-18
631,cases,86.0,2020-03-18
632,cases,87.0,2020-03-18
633,cases,88.0,2020-03-18
634,cases,89.0,2020-03-18
635,cases,90.0,2020-03-18
636,cases,91.0,2020-03-18
637,cases,92.0,2020-03-18
638,cases,93.0,2020-03-18
639,cases,94.0,2020-03-18
770,cases,95.0,2020-03-19
771,cases,96.0,2020-03-19
772,cases,97.0,2020-03-19
773,cases,98.0,2020-03-19
774,cases,99.0,2020-03-19
775,cases,100.0,2020-03-19
776,cases,101.0,2020-03-19
777,cases,102.0,2020-03-19
778,cases,103.0,2020-03-19
779,cases,104.0,2020-03-19
780,cases,105.0,2020-03-19
781,cases,106.0,2020-03-19
782,cases,107.0,2020-03-19
783,cases,108.0,2020-03-19
784,cases,109.0,2020-03-19
